P_evap [bar],T_turb_in [K],W_net [kW],η_th [-],ε_ex [-]
6.4,351.6348484848485,81.78482192670529,0.07476312597024866,0.7759689795207446
6.4,352.34191919191915,82.04539033779795,0.07474075749165955,0.7680265669003739
6.4,353.0489898989899,82.30511614432217,0.07471786264358223,0.7602511280319514
6.4,353.7560606060606,82.56401558582311,0.07469445451976245,0.752637386819599
6.4,354.46313131313127,82.82210445561802,0.07467054583518634,0.7451802886573603
6.4,355.170202020202,83.07939811752291,0.07464614894024238,0.7378749888817275
6.4,355.8772727272727,83.33591152178982,0.07462127583423489,0.7307168419410537
6.4,356.5843434343434,83.59165922026634,0.07459593817825419,0.723701391230056
6.4,357.2914141414141,83.84665538083865,0.07457014730745458,0.7168243595423233
6.4,357.99848484848485,84.1009138012059,0.07454391424277848,0.7100816400974064
6.4,358.7055555555555,84.35444792200386,0.0745172497021396,0.7034692881023334
6.4,359.41262626262625,84.60727083933804,0.07449016411111548,0.6969835128108899
6.4,360.119696969697,84.85939531674418,0.07446266761316256,0.690620670046601
6.4,360.82676767676764,85.11083379660803,0.0744347700793795,0.684377255158039
6.4,361.5338383838384,85.36159841108926,0.07440648111785664,0.6782498963776817
6.4,362.2409090909091,85.61170099255307,0.07437781008261198,0.6722353485573589
6.4,362.94797979797977,85.86115308203645,0.0743487660808376,0.6663304872439353
6.4,363.6550505050505,86.10996594450043,0.07431935798603867,0.6605323031402315
6.4,364.3621212121212,86.35815056994417,0.07428959443892016,0.6548378967666425
6.4,365.0691919191919,86.60571768722363,0.07425948385930917,0.6492444735133607
6.4,365.7762626262626,86.85267777125446,0.0742290344523406,0.6437493389135857
6.4,366.4833333333333,87.09904105106759,0.07419825421539143,0.6383498941792005
6.4,367.190404040404,87.34481751752313,0.07416715094472583,0.6330436319736847
6.4,367.8974747474747,87.59001693072989,0.07413573224188967,0.6278281324078758
6.4,368.6045454545454,87.83464882715109,0.07410400551983905,0.6227010592447256
6.4,369.31161616161614,88.07872252644287,0.07407197800884041,0.617660156300637
6.4,370.0186868686868,88.32224713800926,0.07403965676212995,0.612703244031376
6.4,370.72575757575754,88.56523156731285,0.07400704866136351,0.6078282162917636
6.4,371.43282828282827,88.80768452194403,0.07397416042186065,0.6030330372588424
6.4,372.13989898989894,89.04961451744,0.07394099859763427,0.5983157385088158
6.4,372.84696969696967,89.29102988291149,0.0739075695862553,0.5936744162391632
6.4,373.5540404040404,89.53193876642857,0.07387387963351091,0.5891072286271977
6.4,374.26111111111106,89.77234914023327,0.07383993483791358,0.584612393317662
6.4,374.9681818181818,90.0122688057381,0.07380574115502607,0.5801881850317353
6.4,375.6752525252525,90.25170539835855,0.07377130440164331,0.5758329332909066
6.4,376.3823232323232,90.49066639215752,0.07373663025981235,0.5715450202491207
6.4,377.0893939393939,90.72915910433707,0.07370172428071979,0.5673228786273871
6.4,377.79646464646464,90.9671906995554,0.07366659188842903,0.5631649897450755
6.4,378.5035353535353,91.20476819409973,0.07363123838349246,0.5590698816427702
6.4,379.21060606060604,91.44189845991647,0.07359566894643949,0.5550361272917289
6.4,379.91767676767677,91.67858822849396,0.07355988864113773,0.5510623428852423
6.4,380.62474747474744,91.91484409461523,0.07352390241804073,0.5471471862076086
6.4,381.33181818181816,92.15067251998576,0.07348771511732712,0.5432893550766414
6.4,382.0388888888889,92.38607983672736,0.07345133147192405,0.5394875858557738
6.4,382.74595959595956,92.62107225077429,0.07341475611044442,0.5357406520323298
6.4,383.4530303030303,92.85565584513748,0.07337799356001007,0.5320473628583302
6.4,384.160101010101,93.08983658306929,0.07334104824898811,0.5284065620507971
6.4,384.8671717171717,93.3236203111251,0.07330392450963752,0.5248171265484888
6.4,385.5742424242424,93.55701276212429,0.07326662658066688,0.5212779653222064
6.4,386.28131313131314,93.79001955801428,0.07322915860970887,0.5177880182360097
6.4,386.9883838383838,94.02264621264536,0.07319152465571582,0.5143462549568114
6.4,387.69545454545454,94.25489813445765,0.0731537286912785,0.51095167390997
6.4,388.40252525252527,94.48678062907689,0.07311577460486572,0.5076033012785848
6.4,389.10959595959594,94.71829890183969,0.07307766620300142,0.5043001900444685
6.4,389.8166666666666,94.94945806023324,0.07303940721236724,0.5010414190686732
6.4,390.5237373737374,95.18026311626059,0.07300100128183977,0.49782609220973656
6.4,391.23080808080806,95.41071898873398,0.07296245198446484,0.4946533374778381
6.4,391.93787878787873,95.64083050550309,0.07292376281937415,0.4915223062231884
6.4,392.64494949494946,95.87060240560547,0.07288493721363472,0.4884321723569716
6.4,393.3520202020202,96.10003934136572,0.07284597852405186,0.48538213160343824
6.4,394.05909090909086,96.32914588042766,0.07280689003891402,0.4823714007816227
6.4,394.7661616161616,96.55792650771005,0.072767674979672,0.47939921711524636
6.4,395.4732323232323,96.78638562733923,0.07272833650259437,0.4764648375697954
6.4,396.180303030303,97.01452756449228,0.07268887770034785,0.4735675382151798
6.4,396.8873737373737,97.24235656720694,0.07264930160354585,0.47070661361309335
6.4,397.59444444444443,97.46987680813518,0.07260961118224854,0.4678813762278517
6.4,398.3015151515151,97.69709238623264,0.07256980934740799,0.4650911558596061
6.4,399.00858585858583,97.92400732843063,0.07252989895229413,0.46233529909916105
6.4,399.71565656565656,98.15062559122836,0.07248988279385456,0.4596131688031438
6.4,400.42272727272723,98.37695106226207,0.07244976361405166,0.45692414358889444
6.4,401.12979797979796,98.60298756182445,0.07240954410115658,0.4542676173480885
6.4,401.8368686868687,98.82873884433636,0.07236922689100184,0.4516429987782829
6.4,402.54393939393935,99.0542085997889,0.07232881456820676,0.44904971093170354
6.4,403.2510101010101,99.2794004551358,0.07228830966736045,0.4464871907804254
6.4,403.9580808080808,99.5043179756614,0.07224771467418117,0.44395488879737516
6.4,404.6651515151515,99.72896466629251,0.07220703202662998,0.441452268552333
6.4,405.3722222222222,99.95334397289454,0.07216626411600637,0.43897880632248004
6.4,406.07929292929293,100.17745928351914,0.072125413288005,0.43653399071674753
6.4,406.7863636363636,100.40131392963232,0.0720844818437516,0.43411732231350036
6.4,407.49343434343433,100.62491118729142,0.07204347204079829,0.43172831331088163
6.4,408.20050505050506,100.84825427831575,0.0720023860941082,0.4293664871894817
6.4,408.9075757575757,101.07134637140248,0.07196122617699721,0.4270313783866226
6.4,409.61464646464646,101.29419058323421,0.07191999442206377,0.4247225319819746
6.4,410.3217171717172,101.51678997953795,0.0718786929220804,0.42243950339389175
6.4,411.02878787878785,101.7391475761444,0.07183732373088057,0.42018185808622327
6.4,411.7358585858586,101.96126633998617,0.0717958888641974,0.41794917128493186
6.4,412.44292929292925,102.18314919010524,0.07175439030050539,0.4157410277044275
6.4,413.15,102.40479899860432,0.07171282998181762,0.41355702128294963
