T_turb_in [K],T_turb_in [°C],P_evap [bar],W_net [kW],η_th [-],ε_ex [-]
382.0388888888889,108.88888888888891,12.338902459768928,132.66086991490354,0.11027686850059475,0.8074805264617338
382.74595959595956,109.59595959595958,12.535546562932346,133.83336471812726,0.1110491789418409,0.8078303309644087
383.4530303030303,110.30303030303031,12.734539083258056,134.99916933649715,0.11181424051205781,0.8081331362752256
384.160101010101,111.01010101010104,12.935899316606823,136.15825202367816,0.11257210843132122,0.8083902213454516
384.8671717171717,111.71717171717171,13.139646709482136,137.31057981839214,0.11332283700517529,0.808602822705156
385.5742424242424,112.42424242424244,13.345800863236525,138.45611852032604,0.11406647962684446,0.8087721359883924
386.28131313131314,113.13131313131316,13.554381538473004,139.59483266540133,0.11480308877907783,0.8088993173897834
386.9883838383838,113.83838383838383,13.765408659620258,140.7266855003148,0.11553271603551084,0.8089854850550806
387.69545454545454,114.54545454545456,13.978902319717202,141.8516389564455,0.11625541206164143,0.8090317204097017
388.40252525252527,115.25252525252529,14.194882785397176,142.969653623026,0.11697122661531026,0.8090390694274636
389.10959595959594,115.95959595959596,14.413370502097687,144.08068871973015,0.11768020854680109,0.8090085438433149
389.8166666666666,116.66666666666663,14.634386099498807,145.1847020685132,0.11838240579841876,0.808941122311671
390.5237373737374,117.37373737373741,14.857950397201469,146.28165006487606,0.11907786540364848,0.8088377515138162
391.23080808080806,118.08080808080808,15.084084410671867,147.3714876471645,0.11976663348477394,0.8086993472091006
391.93787878787873,118.78787878787875,15.312809357449058,148.45416827173196,0.12044875525526307,0.8085267952749796
392.64494949494946,119.49494949494948,15.544146663644376,149.52964387475177,0.12112427501129078,0.8083209526322439
393.3520202020202,120.20202020202021,15.778117970745827,150.59786484614065,0.12179323613306885,0.808082648197605
394.05909090909086,120.90909090909088,16.014745142738494,151.6587799966976,0.12245568108056525,0.8078126837609817
394.7661616161616,121.6161616161616,16.254050273576183,152.71233652605758,0.12311165138977066,0.8075118348311988
395.4732323232323,122.32323232323233,16.49605569500458,153.75847999022284,0.12376118766843561,0.8071808514445342
396.180303030303,123.030303030303,16.74078398477661,154.7971542687729,0.12440432959132691,0.806820458938093
396.8873737373737,123.73737373737373,16.988257975277413,155.8283015317737,0.12504111589495392,0.8064313586892656
397.59444444444443,124.44444444444446,17.238500762577573,156.85186220654614,0.12567158437181145,0.8060142288231382
398.3015151515151,125.15151515151513,17.491535715956545,157.86777494430822,0.12629577186409996,0.8055697248889324
399.00858585858583,125.85858585858585,17.747386487920163,158.87597658686474,0.12691371425696527,0.8050984805071604
399.71565656565656,126.56565656565658,18.00607702474173,159.87640213338764,0.127525446471203,0.8046011079884027
400.42272727272723,127.27272727272725,18.26763157757583,160.86898470751038,0.12813100245551381,0.8040781989254647
401.12979797979796,127.97979797979798,18.532074714164505,161.85365552483105,0.1287304151782534,0.8035303247597524
401.8368686868687,128.6868686868687,18.799431331204854,162.83034386097782,0.12932371661871453,0.8029580373230764
402.54393939393935,129.39393939393938,19.069726667395535,163.7989770204716,0.12991093775795082,0.802361869356142
403.2510101010101,130.1010101010101,19.34298631724581,164.75948030660845,0.13049210856921561,0.8017423350050279
403.9580808080808,130.80808080808083,19.619236245670944,165.71177699247883,0.13106725800792032,0.8010999302959944
404.6651515151515,131.5151515151515,19.89850280346444,166.6557882935318,0.13163641400128476,0.8004351335906462
405.3722222222222,132.22222222222223,20.180812743695096,167.59143334185836,0.13219960343762008,0.7997484060217852
406.07929292929293,132.92929292929296,20.466193239120525,168.51862916252188,0.13275685215532207,0.7990401919112718
406.7863636363636,133.63636363636363,20.754671900680947,169.43729065230158,0.13330818493162344,0.7983109191708825
407.49343434343433,134.34343434343435,21.04627679718767,170.34733056118327,0.13385362547117424,0.797560999687271
408.20050505050506,135.05050505050508,21.341036476290093,171.2486594769858,0.13439319639448993,0.7967908296918552
408.9075757575757,135.75757575757575,21.638979986848454,172.14118581357639,0.13492691922638875,0.7960007901169731
409.61464646464646,136.46464646464648,21.94013690283101,173.02481580311735,0.13545481438448503,0.7951912469392302
410.3217171717172,137.1717171717172,22.244537348887203,173.8994534928034,0.13597690116784014,0.7943625515110964
411.02878787878785,137.87878787878788,22.552212027750812,174.76500074661828,0.13649319774589438,0.7935150408819139
411.7358585858586,138.5858585858586,22.86319224965949,175.6213572526913,0.137003721147847,0.7926490381097164
412.44292929292925,139.29292929292927,23.177509964001654,176.4684205367159,0.13750848725258258,0.7917648525647287
413.15,140.0,23.495197793419088,177.30608598207752,0.13800751077935702,0.7908627802260528
